Model type,Model Knowledge,Tree number,Actual sensitivity one,Actual sensitivity two,Actual specificity one,Actual specificity two,Sensitivity Error,Specificity Error,Low Prevalence,High Prevalence,Covdp,Covdp max,Covdp min,Covdn,Covdn max,Covdn min
no cov,Good both,100,0.723502304,0.979166667,0.813940092,0.776681287,0.053844036,0.060386402,0.28,0.62,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.671541502,0.864646465,0.745849802,0.924963925,0.008650683,0.018905411,0.23,0.55,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.689916405,0.891880696,0.693312435,0.898922949,0.042839518,0.06417173,0.29,0.66,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.6875,0.986842105,0.7875,0.815131579,0.02307717,0.06119752,0.24,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.804093567,0.960974833,0.468810916,0.963045556,0.087107648,0.113751412,0.27,0.57,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.720822281,0.766087516,0.75331565,0.771235521,0.059469208,0.035462366,0.26,0.58,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.856034483,0.906161972,0.405172414,0.884330986,0.15393727,0.161857586,0.29,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.623529412,0.79040404,0.627005348,0.696464646,0.057636406,0.053006718,0.34,0.55,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.792532468,0.952777778,0.90974026,0.945833333,0.022468999,0.004192736,0.28,0.55,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.648059701,0.90969697,0.733134328,0.892727273,0.065761254,0.049516222,0.25,0.67,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.873846154,0.937142857,0.683076923,0.985714286,0.009477498,0.008385172,0.25,0.65,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.645833333,0.911184211,0.695833333,0.807236842,0.00668229,0.024458349,0.24,0.6,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.746390458,0.813397928,0.646892655,0.700634815,0.084238283,0.055332854,0.27,0.59,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.458931419,0.894603459,0.58692185,0.862104949,0.005715025,0.066201832,0.22,0.57,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.784199584,0.901587302,0.741787942,0.893650794,0.000706749,0.063398431,0.37,0.65,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.741727941,0.866896759,0.741727941,0.93712485,0.0283498,0.007820429,0.32,0.51,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.866835994,1,0.390783745,0.799022427,0.205548336,0.132485622,0.26,0.53,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.766589862,0.94291498,0.66359447,0.979149798,0.044148834,0.063901417,0.35,0.62,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.846354167,0.912280702,0.591145833,0.852339181,0.026520725,0.028233577,0.24,0.64,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.617105263,0.95503876,0.817324561,0.951744186,0.091952998,0.051553578,0.4,0.57,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.807281858,0.765452723,0.771814187,0.974106248,0.065713888,0.026252116,0.27,0.59,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.646138996,0.948849105,0.709266409,0.910358056,NA,NA,0.291666667,0.616666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.580487805,0.99,0.782229965,0.801392405,0.036644778,0.046651073,0.341666667,0.583333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.714351852,0.99375,0.670987654,0.86025641,NA,NA,0.333333333,0.675,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.826470588,0.915116279,0.680672269,0.868604651,0.070043997,0.023430212,0.283333333,0.583333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.596424702,0.987654321,0.595160708,0.793020912,0.03596377,0.09533498,0.325,0.591666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.712740385,0.95127866,0.891225962,0.824294533,NA,NA,0.325,0.533333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.421641791,0.687331536,0.656301824,0.902740341,0.039825017,0.027664864,0.3,0.558333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.924773756,0.868945869,0.68627451,0.656813865,0.140215339,0.130226701,0.325,0.566666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.420168067,0.903846154,0.717436975,0.897435897,0.04256806,0.104580821,0.35,0.566666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.576388889,0.983630952,0.666666667,0.824404762,0.036526377,0.048192819,0.3,0.6,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.432748538,0.890151515,0.467836257,0.797619048,0.036085001,0.019362944,0.3,0.633333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.461355717,0.938769503,0.794425087,0.987341772,0.134845612,0.057930462,0.341666667,0.641666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.586687307,0.938086304,0.850619195,0.769699812,NA,NA,0.316666667,0.566666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.621882684,0.954032046,0.854583772,0.891252955,NA,NA,0.325,0.608333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.608170311,0.895149986,0.882431914,0.744463134,0.018435511,0.100226816,0.275,0.658333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.404395604,0.863636364,0.792307692,0.809090909,0.090671399,0.037311881,0.291666667,0.541666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.485294118,0.892389525,0.677036199,0.908346972,0.066103757,0.097760803,0.216666667,0.566666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.6953125,0.73538961,0.8515625,0.958603896,0.045568393,0.023861344,0.266666667,0.533333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.713333333,0.955555556,0.596666667,0.927777778,NA,NA,0.25,0.625,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.508956797,0.87785658,0.639796277,0.933806147,0.043176239,0.015097483,0.325,0.608333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.65276273,0.829805996,0.685446009,0.825774754,0.036620896,0.065782555,0.325,0.591666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.721088435,0.75161385,0.783588435,0.856367371,0.00694873,0.031254124,0.408333333,0.6,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.569498069,0.941019894,0.802035802,0.886803026,0.084176645,0.020860604,0.308333333,0.641666667,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.69159954,0.921783011,0.499424626,0.839220634,NA,NA,0.275,0.658333333,NA,NA,NA,NA,NA,NA
no cov,Poor,120,0.361111111,0.97172619,0.875,0.904761905,0.295807916,0.051686277,0.3,0.6,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.831881533,0.812405063,0.655749129,0.962025316,0.037030954,0.057149172,0.341666667,0.583333333,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.77827051,0.950397409,0.60516313,0.969384751,0.025093111,0.127607842,0.341666667,0.641666667,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.740447958,0.990196078,0.451251647,0.880324544,0.030682364,0.099310196,0.275,0.575,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.855113636,0.906144781,0.753787879,0.896885522,0.102792989,0.02449465,0.266666667,0.55,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.603535354,0.554597701,0.765151515,0.966594828,0.066415282,0.053017399,0.275,0.6,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.716969697,0.411877395,0.578181818,0.818773946,0.035728513,0.005276294,0.275,0.625,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.608722359,0.850449775,0.693079443,0.955272364,0.038925964,0.03431864,0.275,0.616666667,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.597727273,0.968981481,0.587878788,0.847916667,0.062232784,0.095974804,0.333333333,0.55,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.815482503,0.861752296,0.715977377,0.854802681,0.09096812,0.064951059,0.341666667,0.575,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.538386212,0.754311363,0.60301606,0.825891803,0.033134808,0.029088008,0.308333333,0.575,NA,NA,NA,NA,NA,NA
no cov,Good one,120,0.635964912,0.775252525,0.569736842,0.960858586,0.03932929,0.023247384,0.25,0.633333333,NA,NA,NA,NA,NA,NA
